device_id;phone_brand;device_model
7,10282E+18;华为;荣耀6 Plus
7,23848E+18;华为;荣耀畅玩4X
-8,00318E+18;金立;V182
-1,72927E+18;HTC;802w
7,86695E+18;联想;S960
5,83869E+18;HTC;T528t
-5,52302E+18;vivo;X5M
9,08246E+18;三星;Galaxy Note 2
-4,00885E+18;三星;Galaxy Win
-1,30902E+18;三星;Galaxy S4
-6,95423E+18;小米;MI 2S
-2,2591E+18;三星;Galaxy Trend DUOS
3,16791E+18;小米;MI 2A
-2,35882E+18;小米;MI 2S
-3,49792E+18;小米;MI 2S
-2,0556E+18;小米;MI 2
4,52997E+17;华为;荣耀畅玩5
5,84947E+18;酷比;S3
7,71586E+18;三星;Galaxy Note 3
1,02015E+18;小米;MI 2A
-3,2254E+18;华为;G610T
2,52689E+18;三星;Galaxy S4
-5,92649E+18;小米;红米
6,48319E+18;三星;Galaxy S4
-8,20431E+18;联想;A660
7,01491E+18;魅族;MX3
8,04481E+18;小米;MI 2S
-5,30067E+18;小米;MI One Plus
6,23618E+18;三星;Galaxy S4
-7,54824E+18;联想;A850
-2,96364E+18;酷派;锋尚2
6,67249E+18;小米;MI 2S
-9,20002E+18;酷派;5891
-4,42161E+18;小米;MI 2S
1,13407E+18;vivo;Xplay
-2,56577E+18;魅族;MX2
5,39875E+17;三星;Galaxy Grand
8,49062E+18;华为;荣耀6
-5,86904E+18;三星;Galaxy Note 2
2,76428E+18;小米;MI 2S
9,18968E+18;三星;Galaxy Grand
-9,85124E+17;三星;Galaxy Win
2,95184E+18;联想;乐檬K3 Note
6,03756E+18;华为;Ascend G700T
3,31328E+18;小米;MI 2A
3,68469E+18;联想;A820
6,65037E+18;三星;Galaxy S4
4,99037E+18;三星;Galaxy Note 3
-8,53849E+18;小米;MI 2C
-4,77332E+18;OPPO;1107
3,65858E+18;小米;MI 2S
3,56948E+18;小米;MI 2S
-4,44331E+17;vivo;X3T
3,06605E+18;三星;Galaxy S4
-9,04231E+18;魅族;MX3
-3,22992E+18;三星;Galaxy Note 2
-3,70284E+18;魅族;魅蓝Note 2
9,7214E+17;小米;MI 2S
5,07909E+18;华为;G520-0000
4,37101E+18;小米;MI 2S
4,52071E+18;小米;红米
-5,87726E+17;OPPO;N1 Mini
7,65787E+18;三星;Galaxy S3
-3,81163E+18;三星;Galaxy Note 3
-7,69582E+18;小米;MI 2S
3,2449E+18;OPPO;R833T
3,32709E+18;小米;MI 2S
4,26502E+18;vivo;Y15
3,44138E+18;HTC;802w
-5,24177E+18;小米;MI 2A
5,04875E+17;小米;红米Note2
-6,26719E+18;vivo;X6 D
8,17505E+18;小米;红米note
2,08108E+18;三星;Galaxy S4
4,0728E+18;小米;MI 2S
6,89833E+18;索尼;Xperia Z
-2,34468E+18;vivo;X5Max+
5,95124E+18;索尼;Xperia Z
-9,03722E+18;vivo;Y27
-6,99329E+18;三星;Galaxy Note 2
2,42689E+18;小米;红米
9,07291E+18;三星;Galaxy Note 2
1,59687E+17;华为;Mate
2,4811E+18;三星;Galaxy Note 2
8,98001E+18;LG;Nexus 4
-5,23753E+17;华为;C8813Q
8,33198E+18;魅族;MX3
2,65102E+18;华为;Ascend G700
-4,67845E+18;小米;MI 2S
7,60675E+18;华为;G610T
-4,14346E+18;魅族;MX3
-1,8932E+18;华为;B199
1,82664E+18;康佳;V987
2,45689E+18;华为;Y560-CL00
1,2698E+18;三星;Galaxy S3
6,5617E+18;联想;S890
5,11454E+18;三星;Galaxy S4
4,82122E+17;金立;GN151
-5,88531E+17;奇酷;旗舰版
-5,06484E+18;华为;Ascend P6
8,42773E+18;小米;MI 1S
-6,38282E+18;小米;MI 3
2,74783E+18;小米;MI 3
3,89456E+18;小米;红米
-5,35889E+18;欧博信;IVO 6622
5,96577E+17;vivo;Y17T
-2,79812E+18;三星;Galaxy Mega 5.8
5,98503E+18;三星;Galaxy S4
-4,60805E+18;vivo;S7I
-6,32172E+18;酷派;7235
-2,22585E+18;华为;C8816
-8,59399E+18;三星;Galaxy Note 3
-5,07508E+18;vivo;Xshot
3,17149E+18;三星;Galaxy Note 3
-1,49113E+18;小米;MI 2
8,10406E+18;酷派;8085
5,026E+18;三星;Galaxy S3
-3,42749E+17;华为;G510
-5,69384E+18;华为;G730-T00
1,67448E+18;小米;MI 2
9,14389E+18;小米;MI 2S
-4,12088E+18;小米;红米
8,42204E+18;小米;MI 2
6,3343E+18;魅族;MX2
-1,95131E+18;vivo;Xplay
1,32375E+18;三星;Galaxy S2
5,55617E+18;小米;MI 3
-3,79087E+18;酷派;7296
3,91232E+18;三星;Galaxy Premier
2,43206E+18;欧比;V10
-6,19971E+18;小米;MI 2S
8,94798E+18;HTC;One X
7,0414E+18;小米;MI 2S
6,57075E+18;三星;Galaxy Note 3
-2,73884E+18;联想;A830
6,68815E+18;小米;MI One Plus
-6,60387E+17;三星;Galaxy Note 3
-3,1463E+16;小米;红米note
-4,87304E+18;索尼;Xperia Z Ultra
-7,8205E+18;华为;荣耀畅玩4X
4,11435E+17;三星;Galaxy S3
5,89879E+17;OPPO;R815T
4,37689E+18;三星;Galaxy Note 3
3,76695E+18;OPPO;U705T
4,63286E+18;vivo;X3T
8,80111E+18;华为;Ascend G700
2,92314E+18;三星;Galaxy Note 2
-7,71635E+18;TCL;么么哒
8,08902E+17;三星;Galaxy S4
7,27976E+16;三星;Galaxy Note 2
-4,36231E+18;三星;Galaxy S4
-5,77623E+18;三星;Galaxy Note 3
3,00624E+18;小米;MI 2
3,49265E+18;三星;Galaxy S4
-5,09393E+18;小米;MI 2S
1,98458E+18;联想;A830
-2,50653E+18;三星;Galaxy S4
-6,60877E+18;三星;Galaxy S4
8,70699E+18;华为;Ascend P6
8,98704E+18;小米;MI 2S
5,62463E+18;小米;MI 3
-4,28367E+18;小米;红米note
6,5295E+18;华为;G716
8,89613E+17;三星;Galaxy S5
4,50014E+18;酷派;大神F2
5,91053E+18;三星;Galaxy Note 2
4,1711E+18;爱派尔;iPh-800
8,89848E+18;HTC;One
-1,38158E+18;华为;荣耀3X畅玩版
-4,65201E+18;小米;MI 2S
2,91234E+18;三星;Galaxy Grand DUOS
-2,01362E+18;三星;Galaxy Note 3
-9,13998E+17;三星;Galaxy Note 3
-3,18544E+18;三星;Galaxy S4
3,51444E+18;小米;MI 2S
8,54162E+18;华为;荣耀6
4,03807E+18;小米;MI 3
5,539E+18;华为;G610S
-2,18564E+18;三星;Galaxy Win Pro
-9,07934E+18;魅族;MX2
-2,20057E+18;小米;MI 2A
-6,87108E+17;小米;MI 2S
8,35205E+18;华为;MT2-C00
-1,97397E+18;OPPO;R7
-1,02049E+18;小米;MI 2S
7,80285E+18;华为;G610S
4,75607E+18;联想;S920
-7,38025E+18;OPPO;1105
-4,93263E+18;小米;MI 1S
-7,1253E+18;三星;Galaxy Mega 5.8
2,96387E+17;三星;Galaxy Mega 6.3
4,3786E+18;酷派;7295+
-6,45068E+18;华为;G620-L75
8,80163E+18;小米;MI One Plus
-7,06117E+18;HTC;Desire 610t
-9,04361E+18;三星;Galaxy S4
-4,40238E+18;三星;Galaxy Note 2
7,47892E+17;酷派;7269
2,07634E+18;三星;Galaxy S4
5,24544E+18;三星;Galaxy Win Pro
-4,44577E+18;酷派;8198T
-2,50609E+18;三星;Galaxy S3
1,55614E+18;小米;红米
-4,49046E+18;华为;Mate
2,07208E+18;索尼;Xperia Z1
-6,99819E+18;华为;G610S
-4,17919E+17;华为;Ascend P6
-2,9559E+18;酷派;大神1s
4,75454E+18;小米;MI 1S
6,46223E+18;华为;荣耀3C
7,29874E+18;OPPO;R807
-1,90792E+18;小米;MI 2
2,06363E+18;努比亚;Z5S
-9,4015E+17;华为;荣耀3X畅玩版
8,84883E+18;小米;MI 2A
6,06877E+18;酷派;7295
-7,91018E+18;酷派;7620l
-3,37227E+18;三星;Galaxy S3
2,07066E+18;三星;Galaxy Note 2
-1,50527E+18;中兴;Grand S 2
-6,74399E+17;联想;A850
2,56582E+18;小米;MI 2S
5,00155E+18;小米;MI 3
5,56925E+17;三星;Galaxy S4
2,14472E+18;三星;Galaxy Grand DUOS
6,37137E+18;vivo;Y20T
-3,82534E+18;小米;MI 2A
-1,52483E+18;酷派;5950
4,47436E+18;酷派;7270
-5,1686E+18;三星;Galaxy Note 3
-2,37656E+17;三星;Galaxy Note 2
-8,0216E+18;小米;MI 2S
-4,98086E+18;魅族;MX3
2,81164E+18;小米;红米note
5,89547E+18;三星;Galaxy Premier
-2,01516E+18;三星;Galaxy Note 3
-1,21256E+18;OPPO;Find 5
4,13527E+18;vivo;X3T
3,89784E+18;魅族;MX3
-6,58635E+18;小米;MI 2
-5,49779E+17;小米;红米note
1,96578E+18;小米;红米Note3
1,84852E+18;小米;红米note
7,0689E+18;小米;MI 3
9,03955E+18;vivo;S9
-3,96095E+18;vivo;S7I
-1,70308E+18;三星;Galaxy Note 2
-1,63004E+18;小米;MI 3
-6,4196E+18;vivo;X6 D
-9,01825E+18;三星;Galaxy Ace 2
5,21209E+18;三星;Galaxy S2 HD LTE E120S
-8,94396E+18;魅族;MX3
-4,73063E+17;小米;MI 2S
-7,74709E+16;三星;Galaxy Note 2
-7,98012E+18;华为;荣耀3C
-9,54971E+17;华为;Ascend P6
-6,70574E+18;三星;Galaxy S4
5,70162E+18;华为;荣耀6
6,26085E+18;联想;A3000-H
-5,31333E+16;三星;Galaxy Note 3
3,65883E+18;vivo;Y17W
-7,00262E+18;三星;Galaxy Note 2
-3,31611E+18;三星;I9050
-5,41549E+18;vivo;Y17T
5,69993E+18;三星;Galaxy Trend DUOS
-7,64354E+18;HTC;One
-3,02431E+18;华为;G730-U00
-5,34497E+18;小米;MI 2S
6,76196E+18;三星;Galaxy Note 2
3,81259E+18;金立;X805
9,09502E+18;小米;MI 2S
-1,28046E+18;酷派;F2
-1,27042E+18;OPPO;Find 7
3,19359E+17;华为;MT1-U06
7,41067E+18;OPPO;U705T
-7,16468E+18;优米;UIMI4
-8,78299E+18;联想;VIBE Z
3,30606E+18;魅族;MX3
-7,96487E+17;vivo;Y20T
5,56546E+18;小米;MI 2S
3,49597E+18;华为;X1 7.0
-2,90041E+17;三星;Galaxy Note 3
-5,65715E+18;优米;3
8,75407E+18;金立;V185
6,55417E+18;OPPO;R831S
-1,50348E+17;酷派;9976A
-3,84811E+18;三星;Galaxy Grand 2
-1,1447E+18;vivo;Y11IT
-8,37644E+18;三星;Galaxy Note 3
6,53095E+18;小米;红米
-1,1433E+18;小米;MI 3
2,76456E+17;金立;GN135
2,12929E+18;vivo;Xplay
4,26833E+18;小米;红米
5,52484E+18;小米;MI 2S
4,11055E+18;小米;MI 3
-3,06989E+18;vivo;Xplay3S
8,7147E+18;金立;F301
-3,43122E+18;华为;G730-U00
-3,94182E+18;三星;Galaxy Trend 3
6,33887E+18;OPPO;R833T
2,38816E+18;华为;G730-L075
3,73103E+18;酷派;大神F1
-4,91869E+18;三星;Galaxy Note 3
2,2501E+18;小米;MI 2S
4,44921E+18;小米;红米
-4,15612E+18;vivo;Y15
-7,23963E+18;三星;Galaxy Grand 2
4,47824E+18;OPPO;N1T
5,64494E+18;vivo;X3T
1,64309E+18;小米;红米note
3,93661E+18;联想;K860i
-1,59394E+17;vivo;X3T
-8,93899E+18;华为;X1 7.0
-5,56066E+18;华为;荣耀6
-3,00221E+18;小米;MI 2S
6,46827E+18;索尼;Xperia Z
5,34766E+18;三星;Galaxy S3
3,58846E+18;魅族;MX3
-5,61639E+18;小米;红米1S
8,27962E+18;中兴;V955
-7,44595E+18;小米;MI 3
1,65124E+18;三星;Galaxy Note 2
-4,10916E+18;HTC;One
-8,63942E+18;小米;MI 3
-7,01705E+18;小米;MI 2S
-3,02367E+18;小米;MI One Plus
3,49802E+18;酷派;5891
-4,63945E+18;小米;红米note
8,85698E+18;LOGO;M2
4,06439E+18;小米;MI 2S
-5,37129E+18;小米;红米note
7,04262E+18;vivo;X3T
5,8011E+18;索尼;Xperia Z
8,80225E+18;小米;MI 3
6,38996E+17;小米;MI 2S
-6,93628E+18;中兴;星星1号
4,5292E+18;华为;荣耀3C
4,22111E+18;三星;Galaxy S3
-1,37984E+18;华为;MT2-C00
-9,21352E+18;三星;Galaxy Mega 5.8
7,09622E+18;vivo;X3T
-3,76417E+18;vivo;X3T
-2,75095E+18;华为;荣耀3C
-4,2426E+18;金立;E7
-3,46794E+18;三星;SCH-I939
1,60583E+17;华为;荣耀3C畅玩版
-1,93837E+18;酷派;7295+
4,72645E+18;魅族;MX3
2,6095E+18;中兴;795+
-8,9287E+18;vivo;X3T
-6,11397E+18;魅族;MX3
-2,94497E+18;小米;MI 3
5,02537E+18;酷派;大神F1
-6,74146E+18;HTC;G11
-1,86888E+18;华为;荣耀3C
-6,01388E+18;OPPO;R827T
3,07687E+18;小米;红米
-3,74215E+18;华为;G610S
-4,69467E+18;联想;A789
7,07885E+18;三星;Galaxy S4
-6,23384E+18;华为;Ascend P7
-2,69649E+18;小米;MI 2S
5,5646E+18;小米;MI 2S
7,47267E+18;小米;MI 2S
-9,7942E+17;小米;MI 1S
-2,06659E+18;三星;Galaxy Note 3
5,5062E+18;联想;A850
-2,82303E+18;华为;荣耀畅玩4
4,35612E+18;三星;I8268
-7,83461E+17;小米;MI 3
-5,10486E+18;华为;荣耀U8860
1,75219E+18;华为;Ascend P6
7,37553E+18;华为;荣耀3C
1,30659E+18;小米;MI 2A
-1,67187E+18;三星;Galaxy Note 3
1,57228E+18;vivo;Xplay
-7,96362E+18;天语;Touch 3
7,21965E+18;魅族;MX2
-3,07046E+18;vivo;Y11IT
-8,14633E+18;vivo;Y11IT
-6,31315E+18;三星;Galaxy S4
-5,29642E+18;华为;Mate 2
-6,39439E+18;联想;A708t
-7,89289E+18;小米;MI 2A
4,73602E+18;酷派;大神F1
7,86982E+18;小米;MI 2S
-9,69156E+17;小米;MI 2S
6,04499E+18;华为;荣耀3C
3,51719E+18;小米;红米note
7,50323E+18;小米;MI 2A
6,89789E+18;vivo;Y17T
-7,35622E+18;索尼;Xperia Z
-5,21172E+18;华为;Ascend P6
-6,04304E+18;小米;红米
-4,82607E+18;索尼;Xperia Z
5,80855E+18;OPPO;R827T
5,65E+18;三星;Galaxy Tab 3 8.0
2,53573E+18;三星;I9118
2,73083E+18;小米;MI 2S
7,36862E+18;金立;V185
-6,34471E+17;小米;MI 2S
4,18843E+17;华为;U9508
5,02069E+17;华为;G520-5000
-4,4985E+18;三星;Galaxy Note 3
-2,24857E+18;朵唯;S3
